health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Mongbalu,555,209,346,89,88,159147,348.7,2,2026-06-19,INSP SitRep via INRB-UMIE
Bunia,527,259,268,42,57,715169,73.7,10,2026-06-19,INSP SitRep via INRB-UMIE
Rwampara,442,201,241,35,71,61295,721.1,0,2026-06-19,INSP SitRep via INRB-UMIE
Nyakunde,131,79,52,7,12,94513,138.6,2,2026-06-19,INSP SitRep via INRB-UMIE
Katwa,39,26,13,16,0,621981,6.3,0,2026-06-19,INSP SitRep via INRB-UMIE
Butembo,32,25,7,11,0,286962,11.2,2,2026-06-19,INSP SitRep via INRB-UMIE
Nizi,32,26,6,5,2,146119,21.9,0,2026-06-19,INSP SitRep via INRB-UMIE
Bambu,23,9,14,2,3,142110,16.2,0,2026-06-19,INSP SitRep via INRB-UMIE
Lita,20,20,0,6,0,91650,21.8,0,2026-06-19,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-06-19,INSP SitRep via INRB-UMIE
Beni,16,16,0,12,0,231984,6.9,2,2026-06-19,INSP SitRep via INRB-UMIE
Kalunguta,15,2,13,1,0,254340,5.9,0,2026-06-19,INSP SitRep via INRB-UMIE
Kilo,15,7,8,1,2,38314,39.2,0,2026-06-19,INSP SitRep via INRB-UMIE
Komanda,10,10,0,3,0,222355,4.5,1,2026-06-19,INSP SitRep via INRB-UMIE
Aru,7,3,4,1,1,307811,2.3,2,2026-06-19,INSP SitRep via INRB-UMIE
Mangala,7,7,0,4,0,82616,8.5,1,2026-06-19,INSP SitRep via INRB-UMIE
Aungba,6,6,0,2,0,229697,2.6,0,2026-06-19,INSP SitRep via INRB-UMIE
Damas,5,4,1,0,0,88590,5.6,0,2026-06-19,INSP SitRep via INRB-UMIE
Tchomia,5,5,0,0,0,64496,7.8,1,2026-06-19,INSP SitRep via INRB-UMIE
Gethy,4,1,3,0,0,171770,2.3,0,2026-06-19,INSP SitRep via INRB-UMIE
Miti-Murhesa,4,3,1,1,0,265959,1.5,0,2026-06-19,INSP SitRep via INRB-UMIE
Oicha,3,3,0,2,0,276791,1.1,0,2026-06-19,INSP SitRep via INRB-UMIE
Rimba,3,3,0,0,0,174926,1.7,1,2026-06-19,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,71960,2.8,1,2026-06-19,INSP SitRep via INRB-UMIE
Kyondo,2,2,0,1,0,493964,0.4,0,2026-06-19,INSP SitRep via INRB-UMIE
Logo,2,2,0,0,0,154126,1.3,0,2026-06-19,INSP SitRep via INRB-UMIE
Mambasa,2,2,0,1,0,164109,1.2,0,2026-06-19,INSP SitRep via INRB-UMIE
Drodro,1,1,0,1,0,210812,0.5,1,2026-06-19,INSP SitRep via INRB-UMIE
Fataki,1,1,0,0,0,150055,0.7,1,2026-06-19,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,277156,0.4,2,2026-06-19,INSP SitRep via INRB-UMIE
Kambala,1,1,0,1,0,132028,0.8,1,2026-06-19,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,253373,0.4,0,2026-06-19,INSP SitRep via INRB-UMIE
Masereka,1,1,0,0,0,145642,0.7,0,2026-06-19,INSP SitRep via INRB-UMIE
Musienene,1,1,0,1,0,234680,0.4,0,2026-06-19,INSP SitRep via INRB-UMIE
Nia-Nia,1,1,0,1,0,85262,1.2,0,2026-06-19,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,256878,0.4,0,2026-06-19,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,583594,,0,2026-06-19,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,60156,,0,2026-06-19,INSP SitRep via INRB-UMIE
