date,confirmed,source,deaths,suspected,suspected_deaths,total_deaths,_nd_fields,_adjustments,_flags,recovered
2026-05-14,8,INRB-UMIE upstream,4,246,,,['suspected_deaths'],[],[],
2026-05-17,13,INRB-UMIE upstream,4,246,,,['suspected_deaths'],[],[],
2026-05-18,33,INRB-UMIE upstream,4,516,,,[],[],[],
2026-05-19,51,INRB-UMIE upstream,4,575,,,[],[],[],
2026-05-20,64,INRB-UMIE upstream,6,671,,,[],[],[],
2026-05-21,83,INRB-UMIE upstream,9,746,,,[],[],[],
2026-05-22,91,INRB-UMIE upstream,10,867,,,['suspected_deaths'],[],[],
2026-05-23,101,INRB-UMIE upstream,10,904,,,[],[],[],
2026-05-24,105,INRB-UMIE upstream,10,906,,,[],[],[],
2026-05-25,106,INRB-UMIE upstream,12,998,,,[],[],[],
2026-05-26,121,INRB-UMIE upstream,17,1077,,,[],[],[],
2026-05-27,125,INRB-UMIE upstream,17,906,,,[],[],[],1
2026-05-28,210,INRB-UMIE upstream,17,349,,,[],[],[],1
2026-05-29,263,INRB-UMIE upstream,42,349,,,[],[],[],2
2026-05-30,282,INRB-UMIE upstream,42,321,,,[],[],[],2
2026-05-31,321,INRB-UMIE upstream,48,220,,,[],[],[],6
2026-06-01,344,INRB-UMIE upstream,60,289,,,[],[],[],6
2026-06-02,363,INRB-UMIE upstream,62,206,,,[],[],[],6
2026-06-03,381,INRB-UMIE upstream,64,,,,[],[],[],7
2026-06-04,452,INRB-UMIE upstream,82,153,,,[],[],[],8
2026-06-05,488,INRB-UMIE upstream,86,119,,,[],[],[],9
2026-06-06,515,INRB-UMIE upstream,91,117,,,[],[],[],12
2026-06-07,550,INRB-UMIE upstream,101,94,,,[],[],[],19
2026-06-08,598,INRB-UMIE upstream,115,138,,,[],[],[],22
2026-06-09,635,INRB-UMIE upstream,127,119,,,[],[],[],30
2026-06-10,676,INRB-UMIE upstream,136,119,,,[],[],[],32
2026-06-11,689,INRB-UMIE upstream,139,168,,,[],[],[],32
2026-06-13,782,INRB-UMIE upstream,181,136,,,[],[],[],40
2026-06-14,808,INRB-UMIE upstream,192,165,,,[],[],[],48
2026-06-15,837,INRB-UMIE upstream,196,235,,,[],[],[],49
2026-06-16,875,INRB-UMIE upstream,202,192,,,[],[],[],67
2026-06-17,896,INRB-UMIE upstream,232,151,,,[],[],[],78
2026-06-18,933,INRB-UMIE upstream,245,238,,,[],[],[],80
2026-06-19,956,INRB-UMIE upstream,247,162,,,[],[],[],92
2026-06-20,1003,INRB-UMIE upstream,254,201,,,[],[],[],100
2026-06-21,1048,INRB-UMIE upstream,267,202,,,[],[],[],112
2026-06-22,1094,INRB-UMIE upstream,277,131,,,[],[],[],115
